Name	MELA/NHF1	
chr20:62169336	2.398337848	
chr4:184365725	2.152461977	
chr13:111267880	2.062201283	
chr16:89788580	2.042533859	
chr11:61560107	1.93045467	
chr5:171433912	1.916628209	
chr17:4981662	1.839849355	
chr6:170893739	1.777527458	
chr19:13950030	1.728924668	
chr15:99558400	1.726421206	
chr2:232826416	1.721210214	
chr5:141705334	0.587262626	
chr15:101834986	0.570695276	
chr2:20550176	0.56955923	
chr7:44678948	0.567034923	
chr1:52499524	0.566663543	
chr15:44580905	0.566566082	
chr1:114302168	0.562422417	
chr19:44576141	0.552668875	
chr1:101360505	0.5491241	
chr19:55988264	0.540193388	
chr1:227015887	0.538109679	
chr17:48229159	0.53536056	
chr11:96123092	0.527809109	
chr7:100271706	0.516160791	
chrX:54556890	0.512778664	
chr19:53606741	0.512405785	
chr9:132096692	0.507579648	
chr7:23338826	0.506588994	
chr15:43622834	0.496588364	
chr13:20207655	0.493874074	
chr12:21654245	0.492572436	
chr1:179846981	0.466559831	
chr12:11323765	0.460420699	
chr1:154193239	0.459387724	
chr4:56212448	0.447682414	
chr6:57182420	0.447194133	
chr1:35450991	0.438629937	
chr12:56520101	0.438287869	
chr1:226187199	0.437903298	
chrX:129535899	0.428890647	
chr5:75012991	0.424988631	
chr12:498779	0.418647307	
chr2:96971594	0.41826945	
chr10:118892406	0.416506342	
chr12:53765104	0.407880408	
chr22:31556124	0.407642569	
chr1:155904356	0.406413124	
chr3:14413483	0.403486321	
chr17:64561366	0.402159539	
chr1:161015874	0.401434096	
chr20:32581036	0.399008761	
chr3:11684393	0.396423198	
chr1:28286505	0.392608826	
chr9:21802506	0.391691227	
chr1:150266291	0.390900809	
chr14:31091459	0.38228523	
chr11:65641139	0.377012359	
chrX:100075311	0.373636133	
chr17:16189458	0.363943061	
chr17:45973864	0.342476152	
chr3:44666552	0.336342929	
chr3:44754144	0.332483182	
chr15:55790619	0.330640319	
chr3:112738582	0.325181547	
chr2:20624740	0.309241565	
chr18:51796430	0.303642064	
chr21:36399111	0.302677601	
chr1:208393201	0.302455918	
chr3:40566454	0.297983417	
chr10:15001980	0.277873961	
chr5:140700406	0.275247728	
chr3:49058928	0.27466262	
chr19:16189853	0.270833276	
chr6:125622896	0.258558915	
chr2:27886328	0.257521389	
chr7:97501868	0.181323469	
chr6:80714239	0.171572709	
chr18:74767214	0.128201615	
chr6:169295365	0.067658051	
