Genome Region midpoint (1-based)	Sum Motif	
chr5:158690302	1164.403652	
chr1:231473732	1149.260508	
chr8:101162865	963.0454418	
chr6:43603534	956.2401457	
chr20:49126823	806.5210162	
chr1:231664394	773.5752848	
chr11:93517409	747.4721651	
chr6:144416808	719.9307864	
chr8:30601939	672.0054175	
chr19:2085478	669.4809919	
chr3:10068055	648.2347282	
chr1:26947990	641.2978236	
chr14:24664907	627.0027088	
chr20:44993048	617.3032411	
chr9:134000966	615.1058285	
chr10:134221561	607.2889968	
chr5:93954340	603.9022978	
chr3:48701629	574.0196618	
chr6:144416814	554.1655146	
chr1:28969602	551.5929385	
chr5:80597386	512.7876424	
chr19:53466125	510.5298431	
chr12:50505763	508.0542686	
chr10:93683510	506.4409677	
chr1:161015821	498.1227816	
chr9:37120500	493.4436764	
chr3:51422502	489.6801093	
chr1:24117580	485.5183075	
chr5:179125763	484.5413787	
chr12:4430360	483.4009434	
chr19:46498439	481.8507379	
chr12:62860563	481.3493835	
chr14:35452138	479.3636279	
chrX:13752856	471.5786942	
chr6:49431087	454.1173641	
chr2:46844312	452.5352606	
chr17:41561237	449.6729871	
chr18:13726658	447.5325518	
chr3:14220275	442.168924	
chr11:8704277	442.0908836	
chr12:42719960	442.0284887	
chr20:44993104	441.6302541	
chr6:28109626	435.3778722	
chr9:19380309	431.0596861	
chr19:57998985	430.5814029	
chr5:133984426	428.3147767	
chr20:16710652	425.1858771	
chr4:175204823	419.5786942	
chr16:12010054	417.9165421	
chr1:63249738	415.4952363	
chr17:34958019	412.9369045	
chr3:184081111	412.4002428	
chr9:130186650	411.0311974	
chr19:41082770	406.2577994	
chr16:2653308	402.3663366	
chr19:9938579	400.4267233	
chr11:118955590	400.1885858	
chr20:34287291	392.824958	
chr11:124492747	392.6115963	
chr5:158690265	389.7387913	
chr19:50529283	387.1288997	
chr8:33342698	386.8934709	
chr3:142720318	385.6587427	
chr17:40169487	381.7706893	
chr3:28390529	381.7706893	
chr14:69865395	375.3493835	
chr1:17380652	370.6417896	
chr10:96122741	369.9965907	
chr12:64616068	369.3351392	
chr6:160211476	361.9911732	
chr11:47290542	361.4080656	
chr11:2421559	360.9138334	
chr22:42196564	359.6444984	
chr12:96895005	356.4036521	
chr18:21166761	356.1316084	
chr3:50606901	354.3663366	
chr15:90234048	346.1316084	
chr16:20817789	340.8907622	
chr16:4338505	338.7075939	
chr12:112563316	337.2143657	
chr14:93260671	326.7075939	
chr12:56510363	326.2774612	
chr14:74416926	325.6587427	
chr15:41186613	323.571572	
chr8:22526648	323.4738698	
chr1:162467631	320.6187185	
chr12:54368467	320.1831683	
chr14:69865356	319.386699	
chr9:104296044	317.3493835	
chr16:25118470	316.6187185	
chr16:23652770	316.1512703	
chr6:34855824	315.7058892	
chr11:113185317	312.6960583	
chr2:178417541	308.824958	
chr10:101491889	308.3466748	
chr12:121019203	307.7191295	
chr15:55611346	306.7591537	
chr7:150784936	302.5814029	
chr6:170863425	301.2747525	
chr5:74532811	301.1485615	
chr10:15902502	299.2462638	
chr16:70557456	297.9253689	
chr6:31633651	297.0311974	
chr19:58341640	295.6071829	
chr16:19535200	295.1804596	
chr3:38178886	294.1546796	
chr17:4843841	293.9396133	
chr16:28937093	291.0756351	
chr3:119217321	290.2347282	
chr17:35306200	290.1458528	
chr2:231084773	289.6818139	
chr12:121124601	287.4240146	
chr17:36981586	287.0773398	
chr16:279472	282.9067112	
chr12:1800089	281.6302541	
chr20:43595104	281.3351392	
chr12:69864156	279.7849337	
chr11:75273889	279.4080656	
chr19:2427591	279.386699	
chr15:63449692	279.0027088	
chr19:633627	277.9022978	
chr7:44613601	276.6417896	
chr17:4981753	276.5725761	
chr3:10290565	275.3493835	
chr15:74287013	275.1974126	
chr11:111957523	273.840907	
chr7:32530037	273.5183075	
chr15:44116923	273.3636279	
chr3:158362311	273.0915842	
chr15:56190067	272.4497945	
chr12:66524525	271.1173641	
chr9:131133620	270.3982346	
chr2:65455546	269.6516206	
chr1:46153861	269.1947039	
chr19:37157735	268.8107136	
chr15:64648524	267.3724547	
chr6:31926872	266.899589	
chr1:160313059	266.2632169	
chr19:57702845	265.9111246	
chr2:136499200	265.4382589	
chr19:39893439	264.7964693	
chr12:51566686	264.6044741	
chr15:42500509	263.984051	
chr3:179065478	263.068513	
chr6:33548062	262.7964693	
chr14:21924403	261.8436157	
chr14:70233805	261.6960583	
chr5:40835376	261.3795769	
chr6:28048715	260.3466748	
chr22:20861853	259.4240146	
chr16:85587837	259.4053568	
chr7:135662108	259.2835793	
chr6:28317689	257.354801	
chr1:162467599	257.3493835	
chr1:144932198	257.2391416	
chr19:28284951	257.0400243	
chr20:33680606	255.9253689	
chrX:47518558	253.3724547	
chr12:58329978	252.6933495	
chr22:36925333	252.5084765	
chr2:95831160	252.2720437	
chr6:30585848	252.2720437	
chr19:18263281	251.6444984	
chr6:111580468	251.2747525	
chr3:66271415	250.7191295	
chr4:100815646	249.4755744	
chr2:153032514	245.4667476	
chr6:170862408	244.6702783	
chr11:576476	243.3351392	
chr12:120105668	243.0915842	
chr1:108743044	242.656034	
chr5:93447358	242.1546796	
