Genome Region midpoint (1-based)	Sum Motif	
chr9:131084788	8011.664464	
chr19:3506033	5431.311367	
chr11:27528378	5060.338852	
chr3:50397006	4333.537969	
chr3:101280667	4222.17705	
chr9:123964243	2817.09971	
chr5:68665382	2451.652625	
chr17:45000491	2387.916542	
chr1:28969645	2287.44809	
chr3:47555006	2256.161101	
chr3:16306508	2156.991173	
chr4:100009980	2039.005418	
chr2:46844333	1917.294414	
chr18:43684698	1813.234028	
chr12:53693484	1435.466748	
chr19:55988264	1409.382286	
chr11:65245123	1361.200121	
chr1:100598556	1330.204535	
chr12:72057785	1285.836494	
chr22:38082575	1248.663156	
chr12:25348148	1247.581403	
chr11:67275676	1169.120073	
chr16:83841529	1127.417896	
chr20:32581036	1068.251681	
chr1:28832402	1039.142443	
chr15:42565640	1025.888053	
chr17:4981662	983.4792873	
chr9:125675581	969.7103026	
chr9:130700160	962.5342565	
chr9:3526036	932.2649215	
chr6:57182420	926.5858164	
chr7:128695041	875.2241967	
chr5:171433912	858.6960583	
chr14:53173814	856.6115963	
chr1:20834706	801.7706893	
chr10:27531134	801.4453811	
chr19:44576141	781.0970017	
chr10:79789322	768.5814029	
chr1:43231806	731.8738091	
chr8:124054561	722.1974126	
chr14:31091459	716.3520923	
chr1:150266291	704.8507379	
chr17:6554937	695.5600364	
chr1:52499524	680.5227209	
chr5:140700406	677.1628059	
chr1:208393201	676.286288	
chr9:95432582	668.8035914	
chr11:61560107	660.9813422	
chr17:49337847	645.39653	
chr16:67969689	641.0454418	
chr19:39926583	638.5671586	
chr4:1303204	635.7778115	
chr15:42565660	624.6115963	
chr9:127962773	613.6302541	
chr12:80329046	601.5183075	
chr9:111696688	597.6729871	
chr5:141705334	593.5369652	
chr15:99558400	585.6729871	
chr19:16189853	577.6570381	
chr15:43622834	575.7530356	
chr5:133702906	567.2835793	
chr12:14956525	567.1875817	
chr8:37620119	556.8107136	
chrX:53254694	553.2907015	
chr12:56520101	551.7031804	
chr11:111797701	541.4382589	
chr20:44601186	540.6417896	
chr17:16189458	529.0027088	
chr20:34129792	514.7591537	
chr11:64085032	506.1173641	
chr6:170893739	501.386699	
chr3:15140687	501.1804596	
chr2:152266912	477.2747525	
chr3:44754144	462.2649215	
chr4:184365725	459.9253689	
chr1:173793956	454.9796376	
chr17:27895546	452.8320801	
chr8:124553506	445.6818139	
chr1:19923389	441.5786942	
chr13:20207655	436.7964693	
chr6:149867289	427.9182468	
chr11:67169562	424.7004717	
chr1:179846981	419.5413787	
chr1:186344468	411.2605081	
chr1:226187199	408.1512703	
chr3:156892778	398.7075939	
chr5:75012991	386.0284887	
chr18:3247789	373.2462638	
chr2:232826416	366.8035914	
chrX:69353709	365.7004717	
chr7:96746950	362.3236036	
chr8:91013696	358.7075939	
chr4:1345767	358.4748739	
chr5:125936591	357.7706893	
chr17:48229159	356.1875817	
chr6:155055415	350.5600364	
chr1:155904356	343.3351392	
chr9:132096692	343.2187792	
chr3:14413483	338.4338455	
chr10:104153876	338.286288	
chr12:123237314	335.8222492	
chr9:135282255	335.6675696	
chrX:54556890	325.3938212	
chr15:101834986	321.4196011	
chr3:9834428	302.3466748	
chr13:111267880	296.5013544	
chr11:96123092	284.9511489	
chr20:2083215	282.8178358	
chr17:79269040	281.5529142	
chr12:49961953	279.3609191	
chr2:20550176	271.984051	
chr3:156892798	267.6960583	
chr2:240189218	258.1316084	
chrX:129535899	255.328017	
chr11:47448145	245.3093592	
chr12:56512023	244.6862273	
chr4:99850586	240.942322	
chr20:62169336	239.8337848	
chr2:96971594	233.8809312	
chr6:30650499	228.0800486	
chr8:125551348	222.7964693	
chr2:232826156	221.6489118	
chr12:498779	218.6231319	
chr15:55790619	218.4151877	
chr19:36870095	212.2018261	
chr19:53606741	209.815127	
chr11:118272325	206.9022978	
chr18:74767214	204.8483326	
chr16:89788580	204.2533859	
chr12:57472155	202.9575705	
chr19:56165727	199.4240146	
chr16:67514783	188.4782832	
chr19:13950030	172.8924668	
chr9:2015226	171.386699	
chr8:144766883	168.0356109	
chr1:35450991	165.7333738	
chr16:4465733	161.5786942	
chr21:36399111	161.523725	
chr1:161015874	160.1058285	
chr3:112738582	157.3093592	
chr20:4741445	154.3938212	
chr12:21654245	154.2577994	
chr11:65641139	153.9619839	
chr5:56469734	153.2062395	
chr7:5821282	152.2506772	
chr12:53765104	149.4311367	
chr17:64561366	149.1929992	
chr3:11684393	148.3351392	
chr2:68478613	145.9111246	
chr2:61244331	145.1129507	
chr22:31556124	143.3208948	
chr4:74125421	141.2462638	
chr2:45165095	141.068513	
chr10:32734979	137.7120073	
chr8:19675698	136.3751634	
chr2:10830145	136.1991173	
chr16:27879183	132.3093592	
chr3:32543928	131.4755744	
chr6:169295365	130.7360826	
chr19:14629582	129.2391416	
chr4:37828302	125.3208948	
chr9:100395499	122.656034	
chr10:104154466	122.5841117	
chr1:227015887	119.9040024	
chr10:134266785	119.3938212	
chr5:137911156	116.6889361	
chr7:97501868	116.0481505	
chr1:11741488	115.3724547	
chr2:27886328	114.899589	
chr3:53289037	112.5013544	
chr7:23338826	108.0515599	
chr6:99873867	106.9351999	
chr2:234160317	104.3466748	
chr3:50284127	99.84361572	
chr6:3259140	92.98846441	
chr1:114302168	90.89958901	
chr2:182321566	89.87651782	
chr3:49056025	89.26492153	
chr3:49058928	83.25779936	
chr2:73612874	82.83378479	
chr7:100271706	75.39382121	
chr22:31743070	70.74490939	
chr12:6833245	69.96980664	
chr19:37708752	68.64178965	
chr21:30446019	68.27645712	
chr9:7799797	66.78222492	
chr17:8091126	64.61159629	
chr16:71495949	63.26933495	
chr9:21802506	60.50135438	
chr2:234160282	58.83378479	
chr1:156472852	57.18045955	
chr22:36764877	56.78934709	
chr1:154193239	56.10311974	
chr1:226270786	53.24185035	
chr9:132499978	53.21336166	
chr16:2318724	53.12889968	
chrX:48555564	51.75644498	
chr2:220363028	51.1947039	
chr4:56212448	50.4053568	
chr11:61735195	47.26933495	
chr6:143265762	45.85956473	
chr16:79635486	41.47557444	
chr17:35285640	40.98846441	
chr19:1001945	40.39111246	
chr1:145455551	39.45962543	
chr17:45973864	37.52713431	
chr10:72142537	37.30935923	
chr15:44580905	37.1831683	
chrX:100075311	35.69334952	
chr7:100765411	35.26933495	
chr14:39572482	34.9111246	
chr2:20624740	34.64008498	
chr1:101360505	29.29070147	
chr11:67250181	29	
chr6:80714239	27.26933495	
chr3:193721020	26.61600971	
chr1:198126760	26.01424434	
chr22:36877731	26	
chrX:134186338	24.7333738	
chr7:150929567	24.44267233	
chr8:126422874	23.23201942	
chr4:111118793	22.26933495	
chr14:24583390	21.80800486	
chr1:235668602	20.44096766	
chr6:163148938	19.2835793	
chr16:58163500	18.79646926	
chr3:50638761	17.93690454	
chr2:227701096	17.1502662	
chr3:44666552	11.9111246	
chr10:75639569	11.61600971	
chr12:107167964	9.808004856	
chr14:54955720	9.756444984	
chr11:61197521	4	
chr19:8943032	4	
chr9:93863293	4	
chr8:145018091	2.641789648	
chr14:103995435	2	
chr6:32938289	1.880931244	
chr20:32398972	1.756444984	
chr21:46976079	0.840906964	
chr1:26231968	0	
chr10:43904622	0	
chr10:95653720	0	
chr10:98346366	0	
chr12:132434455	0	
chr14:70039323	0	
chr14:73493536	0	
chr14:103477398	0	
chr15:51057911	0	
chr19:940995	0	
chr19:49990691	0	
chr19:56111594	0	
chr19:56111603	0	
chr2:68479930	0	
chr7:123389255	0	
chr7:156931462	0	
chrX:139014952	0	
chr10:81965410	-0.243555016	
chr1:26827223	-0.243555016	
chr3:40566454	-1.447085752	
chr16:19729596	-2.243555016	
chr2:160143398	-2.243555016	
chr4:1872472	-2.243555016	
chr1:110026759	-2.487110032	
chr15:76136393	-2.730665048	
chr9:35072018	-2.974220064	
chr3:170074321	-3.985755656	
chr1:154540303	-4.487110032	
chr6:52442222	-4.487110032	
chr11:67210604	-4.974220064	
chr6:125622896	-5.027484604	
chr9:37485728	-5.749322812	
chrX:49012655	-8.339552588	
chr16:88923350	-9.461330096	
chr11:46414357	-9.65332524	
chr5:115420671	-10.42130582	
chr6:1312772	-10.96709789	
chr19:14117905	-11.70488511	
chr18:51796430	-11.9162386	
chr20:58713494	-11.94131796	
chr1:67395795	-12.05326454	
chr8:101963993	-12.10753316	
chr5:149737703	-13.06309546	
chr16:54227886	-15.10211566	
chr15:51058041	-15.35821035	
chr8:120868116	-15.70488511	
chr7:1500671	-16.53154773	
chr1:68151244	-17.40977022	
chr10:103991703	-21.00441342	
chr2:10830170	-21.31377265	
chr9:132646902	-23.01153559	
chr5:133863092	-24.84532038	
chr8:74205948	-25.58752102	
chr4:48492190	-26.08175323	
chr2:39348234	-27.74220064	
chr16:3074013	-28.28087054	
chr12:11323765	-28.28799272	
chr16:86549782	-29.04885112	
chr16:19125191	-29.6275453	
chr6:150740377	-30.28799272	
chr4:2813827	-37.03019336	
chr7:44678948	-39.8052961	
chr1:53662384	-40.15638428	
chr4:110355642	-40.69776294	
chr8:142411765	-44.03460678	
chr16:30597175	-48.66486083	
chr13:52768627	-49.53596115	
chr6:13615461	-50.86568282	
chr4:151936551	-52.75814965	
chr1:28286505	-53.86568282	
chr11:3079033	-55.51018122	
chr19:19483999	-55.71371195	
chr9:137533455	-57.83548946	
chr10:118892406	-58.81412294	
chr17:79303354	-73.6390809	
chr4:986495	-80.58481227	
chr10:15001980	-90.3555016	
chr6:27099774	-113.7110032	
chr21:43916497	-114.1892864	
chr1:36023084	-127.2825752	
chr13:53191580	-155.0434336	
chr5:79950112	-240.0078228	
chr15:66790211	-328.602466	
chr18:48556712	-356.71983	
