Genome Region midpoint (1-based)	SUM	
chr9:131084788	532.5131993	
chr11:27528378	347.6254685	
chr3:50397006	274.337214	
chr17:4981662	179.360025	
chr19:3506033	157.0539148	
chr5:171433912	108.4198644	
chr11:67275676	103.9829298	
chr5:68665382	93.024511	
chr4:1345767	89.54017625	
chr15:99558400	88.89589464	
chr3:16306508	79.80983253	
chr12:53693484	74.40248549	
chr9:130700160	64.82048185	
chr11:61560107	64.24611837	
chr22:38082575	58.16797389	
chr6:170893739	51.22077496	
chr2:232826416	51.14016062	
chr1:186344468	49.84062372	
chr4:184365725	49.52917131	
chr17:49337847	43.70781015	
chr8:124553506	42.43909569	
chr10:104154466	41.57711081	
chr1:235668602	41.45954628	
chr13:111267880	40.21741016	
chr20:62169336	36.75939191	
chr6:13615461	35.5004631	
chr6:155055415	35.20794888	
chr8:144766883	33.63725892	
chr16:89788580	32.38382476	
chr17:27895546	31.66230924	
chr19:14629582	31.5016824	
chr1:28832402	30.50784141	
chr9:111696688	30.32491158	
chr18:48556712	30.13435723	
chr8:19675698	28.74565527	
chr16:27879183	28.6143541	
chr20:34129792	27.08887195	
chr5:137911156	26.64275358	
chr20:2083215	26.31940129	
chr4:986495	25.71298044	
chr16:67969689	24.69987689	
chr16:4465733	24.24550091	
chr2:152266912	23.59635774	
chr16:54227886	23.53466596	
chr19:39926583	21.65131993	
chr3:53289037	20.77068996	
chr4:99850586	20.67055122	
chr15:42565640	20.56797389	
chr3:15140687	20.56184614	
chr8:142411765	20.36366727	
chr2:68478613	20.23267483	
chr3:50284127	20.12886257	
chr9:135282255	19.70504719	
chr2:10830145	19.26778826	
chr3:32543928	19.17496532	
chr10:72142537	18.99450534	
chr9:95432582	18.98933505	
chr12:49961953	18.93466596	
chr8:91013696	18.86596713	
chr7:5821282	18.56366727	
chr15:66790211	18.49833323	
chr9:100395499	18.40611212	
chr17:79269040	17.21069621	
chr2:220363028	16.81160678	
chr4:151936551	16.03145554	
chr1:28969645	15.35366668	
chr16:83841529	15.2803525	
chr16:86549782	15.12549778	
chr12:25348148	15.05195302	
chr1:145455551	14.87817574	
chr1:67395795	13.52733454	
chr4:48492190	13.32396975	
chr9:2015226	13.04855697	
chr2:234160317	12.90442972	
chr9:132499978	12.15664459	
chr12:57472155	12.05102682	
chr21:36399111	11.86139867	
chr10:79789322	11.17743517	
chr19:13950030	11.14565527	
chr1:226270786	10.81069621	
chr5:115420671	10.48183364	
chr16:2318724	10.21984876	
chr2:240189218	10.08428786	
chr18:51796430	9.962772336	
chr3:170074321	9.7832073	
chr16:67514783	9.763065438	
chr16:71495949	9.30992438	
chr4:2813827	9.252214862	
chr5:79950112	9.037876388	
chr2:39348234	8.335267796	
chr4:37828302	8.11298044	
chr19:56165727	8.069625026	
chr19:1001945	7.63664146	
chr10:32734979	7.491912382	
chr15:44580905	7.473900384	
chr22:31743070	6.96794263	
chr6:163148938	6.872063622	
chr1:11741488	6.58626336	
chr5:125936591	6.291310548	
chr2:45165095	5.46871446	
chr8:74205948	4.527025812	
chr12:107167964	4.43664146	
chr4:74125421	4.330390604	
chr9:137533455	3.690693084	
chr8:145018091	3.521222424	
chr6:32938289	3.082142368	
chr8:101963993	3.067788264	
chr7:100271706	3.048556968	
chr6:1312772	2.859237548	
chr11:64085032	2.825667778	
chr6:3259140	2.682142368	
chr5:149737703	2.5832073	
chr16:79635486	2.425652148	
chr2:20624740	2.246118372	
chr21:43916497	2.12977314	
chr15:51058041	2.10992438	
chr12:6833245	2.04275358	
chr21:46976079	1.442444848	
chr10:134266785	0.905047188	
chr14:24583390	0.895879008	
chr11:67210604	0.8	
chr22:36877731	0.50992438	
chr5:133863092	0.484580964	
chr16:19125191	0.411298044	
chr10:81965410	0.4	
chr5:56469734	0.287945756	
chr21:30446019	0.280614338	
chr15:76136393	0.174656584	
chr14:103995435	0.087328292	
chr14:103477398	0	
chr14:70039323	0	
chr19:56111594	0	
chr19:56111603	0	
chr19:940995	0	
chr1:26231968	0	
chr7:156931462	0	
chrX:139014952	0	
chr16:19729596	0	
chr4:1872472	0	
chr1:154540303	0	
chr6:52442222	0	
chr11:67250181	-0.140762452	
chr1:110026759	-0.225343416	
chr10:98346366	-0.312671708	
chr19:8943032	-0.450686832	
chr10:95653720	-0.625343416	
chr15:51057911	-0.625343416	
chr2:68479930	-0.625343416	
chr1:68151244	-0.639388788	
chr1:26827223	-0.850686832	
